,PIDN,pH,ELEV,REF2,BSAN,LSTN,Infrared01,Infrared02,Infrared03,Infrared04,Infrared05
32,d9u06tdU,-0.0444359419057783,0.904899775981903,-0.35250464081764205,-0.710144937038422,-0.371001124382019,0.378298,0.056228,1.349732,1.81377,1.65483
33,qsQFu3ef,-0.45596111677131296,0.904899775981903,-0.35250464081764205,-0.710144937038422,-0.371001124382019,0.374321,0.07222899999999999,1.4595690000000001,1.78552,1.62982
34,C4kj5IMN,-0.549489565604389,0.9717149138450619,-0.35250464081764205,-0.702898561954498,-0.39931154251098605,0.390773,0.04822800000000005,1.5559170000000002,1.73194,1.63317
35,p1SCgsM8,-0.9516618955866151,0.9717149138450619,-0.35250464081764205,-0.702898561954498,-0.39931154251098605,0.385719,0.04767899999999997,1.6629810000000003,1.68115,1.6919
36,UqyLWYTl,-0.42790258212139004,0.929398655891418,-0.506493508815765,-0.695652186870575,-0.543779015541077,0.41147100000000003,0.04300199999999993,1.5220190000000002,1.71672,1.6893599999999998
37,HhLQiNKo,-1.07324887906961,0.929398655891418,-0.506493508815765,-0.695652186870575,-0.543779015541077,0.418422,0.05549599999999999,1.757028,1.69042,1.7743200000000001
38,8YUvk1HD,-0.568195255371004,1.31915366649628,-0.4564007520675661,-0.746376812458038,-0.694919586181641,0.355758,0.056628999999999985,1.656382,1.6692900000000002,1.71754
39,cPo3EE0z,-0.8300749121036171,1.31915366649628,-0.4564007520675661,-0.746376812458038,-0.694919586181641,0.36613,0.06254299999999996,1.8061699999999998,1.70455,1.77338
40,YGw3F2p0,-0.942309050703308,0.8425389528274541,-0.343228191137314,-0.717391312122345,-0.39249369502067605,0.39483,0.040462,1.5576100000000002,1.7328700000000001,1.76826
41,kUjHzM8N,-0.942309050703308,0.8425389528274541,-0.343228191137314,-0.717391312122345,-0.39249369502067605,0.376025,0.04918900000000004,1.7059849999999999,1.6902400000000002,1.8162900000000002
42,gnuHPDnR,-0.7271936183872341,0.831403136253357,-0.37384045124054,-0.739130437374115,-0.44922825694084206,0.40847100000000003,0.04627799999999993,1.485319,1.77975,1.7291
43,oE34qZ1N,-1.19483586255261,0.831403136253357,-0.37384045124054,-0.739130437374115,-0.44922825694084206,0.406571,0.053068000000000004,1.680659,1.72793,1.8120900000000002
44,rZKeQh3O,0.282913629009987,0.94498884677887,-0.45825603604316706,-0.717391312122345,-0.45380279421806297,0.365075,0.07461300000000004,1.6267349999999998,1.6968,1.81875
45,KXwAelnG,0.161326645526989,0.94498884677887,-0.45825603604316706,-0.717391312122345,-0.45380279421806297,0.337334,0.0877,1.786986,1.7760799999999999,1.98637
46,niEFs9EW,-0.7271936183872341,0.7957683801651,-0.35157698392868,-0.717391312122345,-0.29350796341896096,0.332226,0.04150799999999999,1.4403739999999998,1.68166,1.69265
47,6mcoODWx,-1.06389603418631,0.7957683801651,-0.35157698392868,-0.717391312122345,-0.29350796341896096,0.34498,0.04714199999999996,1.5506299999999997,1.6738,1.7630599999999998
48,42ky64eL,-0.530783875837774,0.706681489944458,-0.482374757528305,-0.753623187541962,-0.44497936964034995,0.31753400000000004,0.04383399999999993,1.503366,1.6732799999999999,1.6510599999999998
49,As6AYQlB,-0.802016377453694,0.706681489944458,-0.482374757528305,-0.753623187541962,-0.44497936964034995,0.406038,0.05236899999999994,1.6607719999999997,1.6564599999999998,1.7755599999999998
50,kf8xv3u1,-0.371785512821545,0.742316246032715,-0.653061211109161,-0.782608687877655,-0.45454713702201793,0.387944,0.05037499999999995,1.541726,1.7102099999999998,1.7893400000000002
51,paJoYYIk,-0.7646049979204641,0.742316246032715,-0.653061211109161,-0.782608687877655,-0.45454713702201793,0.39156599999999997,0.05265900000000001,1.6724039999999998,1.65315,1.81918
52,yGDHl7WK,-0.8581334467535401,0.8158129453659059,-0.622448980808258,-0.768115937709808,-0.39166665077209495,0.38961999999999997,0.041823000000000055,1.5533200000000003,1.68058,1.8017
53,y1hdcmcI,-0.93295620582,0.8158129453659059,-0.622448980808258,-0.768115937709808,-0.39166665077209495,0.395306,0.04582000000000003,1.6417340000000002,1.65583,1.84607
54,Xils3tp8,-0.586900945137619,0.682182610034943,-0.482374757528305,-0.768115937709808,-0.472287029027939,0.332414,0.04837600000000003,1.587876,1.66808,1.71018
55,YSTsaujO,-0.970367585353231,0.682182610034943,-0.482374757528305,-0.768115937709808,-0.472287029027939,0.31651999999999997,0.052920999999999996,1.7049800000000002,1.62608,1.7507
56,HHPYNfyu,0.0210339722773752,0.682182610034943,-0.5445268750190729,-0.768115937709808,-0.376345843076706,0.340081,0.050053000000000014,1.5452590000000002,1.56978,1.53555
57,XlJWsmdz,-0.0724944765557013,0.682182610034943,-0.5445268750190729,-0.768115937709808,-0.376345843076706,0.317117,0.06145099999999998,1.7693929999999995,1.6491200000000001,1.69565
58,psw18RC3,0.0771510415772205,0.6665924191474909,-0.56307977437973,-0.789855062961578,-0.248475939035416,0.37738,0.04607100000000003,1.5891199999999999,1.60365,1.56141
59,YYNdJzV3,-0.137964390738855,0.6665924191474909,-0.56307977437973,-0.789855062961578,-0.248475939035416,0.361091,0.056726,1.718559,1.67278,1.69459
