LIBOR_date,LIBOR_price,OIS_date,OIS_price,Oil_date,Oil_price,US_equity_index_date,US_equity_index,US10Y_date,US10Y_yield,USD_trade_weighted_date,USD_trade_weighted_index
1/2/2003,1.38,1/1/2003,1.231,1/2/2003,31.85,1/2/2003,909.03,1/1/2003,3.8175,1/2/2003,101.88
1/3/2003,1.39,1/2/2003,1.226,1/3/2003,33.08,1/3/2003,908.59,1/2/2003,4.0305,1/3/2003,101.69
1/6/2003,1.38875,1/3/2003,1.234,1/6/2003,32.1,1/6/2003,929.01,1/3/2003,4.0169,1/6/2003,101.36
1/7/2003,1.3875,1/6/2003,1.237,1/7/2003,31.08,1/7/2003,922.93,1/6/2003,4.0518,1/7/2003,101.45
1/8/2003,1.38,1/7/2003,1.234,1/8/2003,30.56,1/8/2003,909.93,1/7/2003,4.0053,1/8/2003,101.34
1/9/2003,1.38,1/8/2003,1.223,1/9/2003,31.99,1/9/2003,927.58,1/8/2003,4.0169,1/9/2003,101.33
1/10/2003,1.38,1/9/2003,1.231,1/10/2003,31.68,1/10/2003,927.57,1/9/2003,4.179,1/10/2003,101.13
1/13/2003,1.37563,1/10/2003,1.23,1/13/2003,32.26,1/13/2003,926.26,1/10/2003,4.132,1/13/2003,101.08
1/14/2003,1.37313,1/13/2003,1.231,1/14/2003,32.37,1/14/2003,931.66,1/13/2003,4.1202,1/14/2003,100.79
1/15/2003,1.37,1/14/2003,1.228,1/15/2003,33.21,1/15/2003,918.22,1/14/2003,4.0772,1/15/2003,100.67
1/16/2003,1.37,1/15/2003,1.226,1/16/2003,33.66,1/16/2003,914.6,1/15/2003,4.0597,1/16/2003,100.67
1/17/2003,1.36875,1/16/2003,1.226,1/17/2003,33.91,1/17/2003,901.78,1/16/2003,4.0773,1/17/2003,100.54
1/20/2003,1.36375,1/17/2003,1.22,1/21/2003,34.61,1/21/2003,887.62,1/17/2003,4.0091,1/21/2003,100.78
1/21/2003,1.3625,1/20/2003,1.22,1/22/2003,32.85,1/22/2003,878.36,1/20/2003,4.015,1/22/2003,100.8
1/22/2003,1.36,1/21/2003,1.216,1/23/2003,32.25,1/23/2003,887.34,1/21/2003,3.9703,1/23/2003,100.43
1/23/2003,1.3525,1/22/2003,1.207,1/24/2003,33.28,1/24/2003,861.4,1/22/2003,3.9144,1/24/2003,100.25
1/24/2003,1.34938,1/23/2003,1.203,1/27/2003,32.29,1/27/2003,847.48,1/23/2003,3.9355,1/27/2003,100.47
1/27/2003,1.34125,1/24/2003,1.191,1/28/2003,32.67,1/28/2003,858.54,1/24/2003,3.9278,1/28/2003,100.69
1/28/2003,1.34,1/27/2003,1.197,1/29/2003,33.63,1/29/2003,864.36,1/27/2003,3.9625,1/29/2003,100.42
1/29/2003,1.34,1/28/2003,1.198,1/30/2003,33.85,1/30/2003,844.61,1/28/2003,3.9683,1/30/2003,100.69
1/30/2003,1.35,1/29/2003,1.211,1/31/2003,33.51,1/31/2003,855.7,1/29/2003,4.0208,1/31/2003,100.92
1/31/2003,1.35,1/30/2003,1.206,2/3/2003,32.76,2/3/2003,860.32,1/30/2003,3.9606,2/3/2003,100.92
2/3/2003,1.35,1/31/2003,1.204,2/4/2003,33.58,2/4/2003,848.2,1/31/2003,3.9625,2/4/2003,100.56
2/4/2003,1.35,2/3/2003,1.213,2/5/2003,33.93,2/5/2003,843.59,2/3/2003,3.9916,2/5/2003,100.64
2/5/2003,1.34875,2/4/2003,1.202,2/6/2003,34.16,2/6/2003,838.15,2/4/2003,3.9199,2/6/2003,100.65
2/6/2003,1.35,2/5/2003,1.209,2/7/2003,35.12,2/7/2003,829.69,2/5/2003,3.9955,2/7/2003,100.88
2/7/2003,1.35,2/6/2003,1.206,2/10/2003,34.48,2/10/2003,835.97,2/6/2003,3.945,2/10/2003,101.48
2/10/2003,1.34938,2/7/2003,1.199,2/11/2003,35.44,2/11/2003,829.2,2/7/2003,3.9294,2/11/2003,101.39
2/11/2003,1.35,2/10/2003,1.207,2/12/2003,35.77,2/12/2003,818.68,2/10/2003,3.9643,2/12/2003,101.51
2/12/2003,1.34,2/11/2003,1.205,2/13/2003,36.36,2/13/2003,817.37,2/11/2003,3.9566,2/13/2003,100.92
