venue,user,time
107779,1335006,2011-12-08 21:38:44
1023,1335039,2011-12-08 22:49:52
1023,1335040,2011-12-08 22:43:47
1023,1335041,2011-12-08 22:26:10
1023,277631,2011-12-08 21:54:53
36563,1335042,2011-12-08 22:10:29
49807,321938,2011-12-08 23:14:59
49807,1335057,2011-12-08 20:50:32
52660,60399,2011-12-08 22:53:11
52660,406215,2011-12-08 22:40:20
52660,785388,2011-12-08 22:39:11
52660,960969,2011-12-08 21:29:53
638536,1335099,2011-12-08 23:16:36
638536,1335100,2011-12-08 20:51:52
33707,1335109,2011-12-08 21:43:15
33707,1335111,2011-12-08 20:27:30
33707,335801,2011-12-08 20:22:37
49880,1095708,2011-12-08 22:14:17
17422,398997,2011-12-08 23:03:36
17422,1335125,2011-12-08 20:34:14
166903,147972,2011-12-08 21:55:12
68325,882557,2011-12-08 23:14:59
47376,75334,2011-12-08 23:20:03
47376,10963,2011-12-08 23:18:20
47376,200848,2011-12-08 23:15:12
47376,1335153,2011-12-08 21:32:12
83582,571864,2011-12-08 21:26:40
47376,1335155,2011-12-08 21:28:09
150393,89878,2011-12-08 23:17:40
150393,1335163,2011-12-08 22:38:04
78460,75104,2011-12-08 23:19:52
78460,1335165,2011-12-08 21:19:59
78460,1040946,2011-12-08 21:06:57
78460,1335166,2011-12-08 20:57:49
114982,1335180,2011-12-08 23:09:32
114982,1335181,2011-12-08 23:03:46
114982,1335182,2011-12-08 22:57:02
114982,379148,2011-12-08 22:23:35
28531,366527,2011-12-08 23:18:28
28531,1335184,2011-12-08 21:40:13
50722,1335201,2011-12-08 23:10:17
50722,1335202,2011-12-08 21:51:50
50722,1335203,2011-12-08 21:51:32
50722,1335205,2011-12-08 21:08:07
50722,640348,2011-12-08 21:04:23
50722,256079,2011-12-08 20:48:50
5834,454140,2011-12-08 23:14:44
5834,1335207,2011-12-08 23:11:07
5834,1335209,2011-12-08 23:06:12
5834,263666,2011-12-08 22:55:08
5834,1335210,2011-12-08 22:44:03
5834,1335211,2011-12-08 22:37:04
5834,1335212,2011-12-08 22:19:01
5834,1335213,2011-12-08 22:15:11
519954,369945,2011-12-08 22:01:41
5834,1335214,2011-12-08 21:33:42
5834,1335215,2011-12-08 20:42:32
