,lat,lon
273,40.7651,-73.9821
409,40.719545,-73.9904664
410,40.7459871,-73.9885711
415,40.762,-73.985925
416,40.7168508246382,-74.0079832077026
417,40.735164,-74.0046909
419,40.732343,-74.002221
420,40.7395347950038,-74.0061378479004
421,40.736551,-74.006363
422,40.738029,-74.004007
423,40.7607856,-73.98349
424,40.759,-73.979
425,40.763357,-73.976964
426,40.760018,-73.989078
427,40.737379,-74.0039649
428,40.744594,-73.998305
437,40.7219574249367,-73.9924907684326
438,40.7653,-73.9832
523,40.745127,-73.998424
524,40.7445493,-73.9853319
525,40.746874,-73.9899313
526,40.715847,-74.007087
568,40.7143528,-74.0059731
570,40.7323,-74.0052
782,40.7504756227248,-73.9935636520386
785,40.7302670101874,-73.9931130409241
786,40.7444091,-73.9963037
787,40.7247447,-73.9988694
788,40.741967,-73.9894911
791,40.733797,-73.998745
792,40.740667,-74.007828
796,40.721268,-73.997295
800,40.7290799901031,-74.0022754669189
813,40.7225619,-73.9950688
814,40.7213069243792,-74.0000438690186
816,40.7401438,-74.00593
817,40.744201,-74.00661
818,40.7513859225209,-74.0029191970825
828,40.7216647004726,-74.0001726150513
829,40.7197456971035,-74.0009558200836
830,40.740667,-74.007828
831,40.733405194168,-73.9973831176758
832,40.738546,-73.985772
833,40.73169,-73.985846
834,40.7299408,-74.0006608
835,40.726568,-73.999835
836,40.7212,-73.9881
837,40.7214461,-73.997499
894,40.722672,-73.994648
908,40.742938,-73.999806
917,40.728478,-73.985067
918,40.7517038,-73.9801188
920,40.7386849,-73.994615
921,40.7332229,-73.998602
922,40.721963,-74.002051
930,40.7312,-73.989
958,40.7222455,-74.0038582
959,40.75637,-73.991823
970,40.750374,-73.992708
998,40.7621285,-73.9856848
999,40.7466,-73.9848
1003,40.7176,-74.0058
1004,40.7602,-73.9896
1022,40.729784,-74.003483
1023,40.7457508,-73.9879738
1025,40.740285,-74.0058243
1096,40.7592204876522,-73.9851093292236
1184,40.7335,-74.005
1198,40.7677691877556,-73.980860710144
1218,40.7430095,-73.9871255
1238,40.7506706880159,-73.9866542816162
1246,40.7243316980219,-73.9924907684326
1247,40.7402989231539,-74.0078973770142
1251,40.7317278,-74.0032458
1253,40.720764,-73.98861
