	token0	token1	token2	token3	token4	token5	token6	token7	token8	token9
0	0	1	3	3	2	3	5	5	5	5
1	4	4	0	1	3	3	2	5	5	5
2	0	1	3	3	2	3	5	5	5	5
3	0	1	3	2	4	3	5	5	5	5
4	4	0	1	3	2	5	5	5	5	5
5	4	4	0	1	3	3	2	3	5	5
6	4	4	4	0	1	3	3	2	3	5
7	4	4	0	1	3	2	5	5	5	5
8	0	1	3	2	5	3	3	5	5	5
9	0	1	3	3	2	3	3	5	5	5
10	4	4	0	1	3	3	2	3	3	5
11	4	0	1	3	2	3	5	5	5	5
12	0	1	3	2	3	5	5	5	5	5
13	4	4	0	1	3	3	2	3	3	5
14	0	1	3	2	4	3	5	5	5	5
15	0	1	3	2	3	5	5	5	5	5
16	4	4	0	1	3	2	5	3	3	5
17	0	1	3	2	3	5	5	5	5	5
18	4	0	1	3	3	2	4	3	5	5
19	0	1	3	2	5	5	5	5	5	5
20	0	1	3	3	2	3	5	5	5	5
21	0	1	3	3	2	3	5	5	5	5
22	0	1	3	3	2	5	3	5	5	5
23	4	0	1	3	3	2	5	5	5	5
24	0	1	3	3	2	4	3	5	5	5
25	0	1	3	2	3	3	5	5	5	5
26	4	4	0	1	3	3	2	3	5	5
27	0	1	3	2	4	3	5	5	5	5
28	4	0	1	3	3	2	5	3	3	5
29	4	0	1	3	3	2	5	3	5	5
30	4	4	4	0	1	3	2	5	5	5
31	0	1	3	3	2	5	3	3	5	5
32	4	0	1	3	2	3	3	5	5	5
33	4	4	4	0	1	3	3	2	4	3
34	4	4	0	1	3	3	2	5	3	5
35	4	0	1	3	3	2	5	5	5	5
36	4	4	4	0	1	3	3	2	3	5
37	4	0	1	3	2	5	5	5	5	5
38	4	0	1	3	3	2	3	5	5	5
39	4	4	0	1	3	3	2	5	5	5
40	4	4	4	0	1	3	2	3	3	5
41	0	1	3	2	5	5	5	5	5	5
42	4	4	0	1	3	3	2	3	5	5
43	4	4	4	0	1	3	3	2	5	3
44	0	1	3	2	5	5	5	5	5	5
45	4	0	1	3	2	4	3	5	5	5
46	4	4	4	0	1	3	2	3	5	5
47	4	0	1	3	3	2	3	3	5	5
48	4	4	0	1	3	2	4	3	5	5
49	0	1	3	3	2	5	5	5	5	5
50	0	1	3	2	3	5	5	5	5	5
51	4	4	0	1	3	3	2	3	5	5
52	0	1	3	3	2	5	5	5	5	5
53	0	1	3	3	2	5	3	5	5	5
54	4	4	0	1	3	3	2	3	5	5
55	0	1	3	2	3	5	5	5	5	5
56	4	0	1	3	3	2	3	3	5	5
57	4	4	4	0	1	3	2	5	5	5
58	4	0	1	3	3	2	4	3	5	5
59	0	1	3	2	3	5	5	5	5	5
60	0	1	3	2	5	3	5	5	5	5
61	4	4	4	0	1	3	3	2	5	5
62	0	1	3	2	5	5	5	5	5	5
63	4	0	1	3	3	2	3	5	5	5
64	4	4	4	0	1	3	2	5	3	5
65	0	1	3	3	2	5	5	5	5	5
66	4	4	4	0	1	3	3	2	5	5
67	4	0	1	3	3	2	3	5	5	5
68	4	4	4	0	1	3	3	2	3	3
